,simu_time,car_num,x_position,y_position,x_acce(m^2/s),y_acce(m^2/s),length(m),speed(m/s),LateralSpeed(m/s),accelaration(m^2/s),angel(du),roadID,LaneID,Lane_index,lane_position
44,7.0,xiaoxinghuoche.1,9.080554707464762,-4.8,-3.9848165812436487,0.0,6.0,1.9313653434743174,0.0,0.8821759794838728,90.0,H,H_3,3.0,9.080554707464762
45,7.0,zhongxinghuoche.0,28.908259508037006,-8.0,3.5737264264607798,0.0,9.6,5.505091769935097,0.0,1.0438312165555539,90.0,H,H_2,2.0,28.908259508037006
46,7.0,zhongxinghuoche.1,10.570301776996347,-8.0,-4.6347899929387495,0.0,9.6,0.8703017769963481,0.0,0.8703017769963481,90.0,H,H_2,2.0,10.570301776996347
47,8.0,dakeche.0,66.07687093585264,-1.6,0.0,0.0,11.0,13.103295870544388,0.0,1.7497726354980845,90.0,H,H_4,4.0,66.07687093585264
48,8.0,dakeche.1,21.037078784406184,-1.6,-7.915535689541138,0.0,11.0,5.18776018100325,0.0,2.1185112963197748,90.0,H,H_4,4.0,21.037078784406184
49,8.0,daxinghuoche.0,41.202187776356006,-11.2,1.2571240395191126,0.0,13.0,6.444884220522362,0.0,0.794428865681402,90.0,H,H_1,1.0,41.202187776356006
50,8.0,daxinghuoche.1,16.002663644982565,-11.2,-4.368489782298184,0.0,13.0,2.0763944382241784,0.0,1.2501252314657907,90.0,H,H_1,1.0,16.002663644982565
51,8.0,tedaxinghuoche.0,18.28251550580608,-14.4,-0.5850873733682413,0.0,16.0,1.491307064855937,0.0,0.8000986239057966,90.0,H,H_0,0.0,18.28251550580608
52,8.0,xiaokeche.0,57.64727602214552,-14.4,12.780750934628305,0.0,4.0,14.272057999484241,0.0,2.2782493316102777,90.0,H,H_0,0.0,57.647276022145526
53,8.0,xiaoxinghuoche.0,34.09224408348091,-4.8,-7.618351358151996,0.0,6.0,6.653706641332246,0.0,0.7375247166142795,90.0,H,H_3,3.0,34.09224408348091
54,8.0,xiaoxinghuoche.1,11.754837019590195,-4.8,-3.979424329206812,0.0,6.0,2.6742823121254338,0.0,0.7429169686511163,90.0,H,H_3,3.0,11.754837019590195
55,8.0,zhongxinghuoche.0,35.456443638971535,-8.0,3.873901818809099,0.0,9.6,6.5481841309345326,0.0,1.0430923609994354,90.0,H,H_2,2.0,35.456443638971535
56,8.0,zhongxinghuoche.1,12.522517088300084,-8.0,-4.595968819630798,0.0,9.6,1.952215311303735,0.0,1.081913534307387,90.0,H,H_2,2.0,12.522517088300082
57,9.0,dakeche.0,80.55327471485361,-1.6,0.0,0.0,11.0,14.476403779000973,0.0,1.3731079084565856,90.0,H,H_4,4.0,80.55327471485361
58,9.0,dakeche.1,28.243595323339104,-1.6,-7.269887240068054,0.0,11.0,7.206516538932919,0.0,2.0187563579296697,90.0,H,H_4,4.0,28.243595323339104
59,9.0,dakeche.2,11.1,-1.6,-7.206516538932919,0.0,11.0,0.0,0.0,0.0,90.0,H,H_4,4.0,11.1
60,9.0,daxinghuoche.0,48.50752473316388,-11.2,7.305336956807877,0.0,13.0,7.305336956807877,0.0,0.8604527362855148,90.0,H,H_1,1.0,48.50752473316388
61,9.0,daxinghuoche.1,19.086190509145943,-11.2,-4.2218100926445,0.0,13.0,3.083526864163377,0.0,1.0071324259391985,90.0,H,H_1,1.0,19.086190509145943
62,9.0,tedaxinghuoche.0,20.870503271569035,-14.4,-0.49553909840042154,0.0,16.0,2.5879877657629553,0.0,1.0966807009070183,90.0,H,H_0,0.0,20.870503271569035
