,simu_time,car_num,x_position,y_position,x_acce(m^2/s),y_acce(m^2/s),length(m),speed(m/s),LateralSpeed(m/s),accelaration(m^2/s),angel(du),roadID,LaneID,Lane_index,lane_position
10,4.0,dakeche_zhixing.0,927.5523243884202,10989.68522537953,0.0,0.0,11.0,2.6389478787314147,0.0,1.0542524739168584,201.72155410309549,mainlane01,mainlane01_0,0.0,15.925780627364293
11,4.0,xiaokeche_zhixing.0,934.6232981415695,10987.153873653151,3.6503428877331325,0.0,4.0,6.289290766464547,0.0,2.5782333649229265,202.36526848367183,mainlane01,mainlane01_2,2.0,15.729856987041423
12,4.0,xiaokeche_zhixing.1,938.3234659773506,10996.433836159746,-6.289290766464547,0.0,4.0,0.0,0.0,-1.638901706552133,201.32001591504024,mainlane01,mainlane01_2,2.0,5.738901706552133
13,4.0,xiaokeche_zhixing.2,941.8620646102964,10995.191859765218,1.5145738587714732,0.0,4.0,1.5145738587714732,0.0,1.5145738587714732,201.29589680860306,mainlane01,mainlane01_3,3.0,5.614573858771473
14,4.0,xiaokeche_zhixing.3,945.1176303345346,10993.205521386446,0.6670857685850933,0.0,4.0,2.1816596273565665,0.0,2.1816596273565665,201.3315023557383,mainlane01,mainlane01_4,4.0,6.281659627356566
15,4.0,xiaokeche_zhixing.4,935.4268469797023,10999.318991491487,-2.1816596273565665,0.0,4.0,0.0,0.0,0.0,201.3442949470194,mainlane01,mainlane01_1,1.0,4.1
16,5.0,dakeche_zhixing.0,926.1448304597643,10986.281552371052,0.0,0.0,11.0,3.6789034759858623,0.0,1.0399555972544476,202.10878490837672,mainlane01,mainlane01_0,0.0,19.604684103350156
17,5.0,xiaokeche_zhixing.0,931.6986012837433,10980.082598910996,3.9733295101672423,0.0,4.0,7.652232986153105,0.0,1.3629422196885574,202.4346036647124,mainlane01,mainlane01_2,2.0,23.382089973194528
18,5.0,xiaokeche_zhixing.1,937.5245154386979,10994.386747335153,-5.454761696467177,0.0,4.0,2.1974712896859274,0.0,2.1974712896859274,201.32001591503877,mainlane01,mainlane01_2,2.0,7.93637299623806
19,5.0,xiaokeche_zhixing.2,940.5206824425608,10991.750664270605,1.498077299166471,0.0,4.0,3.6955485888523985,0.0,2.1809747300809255,201.2958968085936,mainlane01,mainlane01_3,3.0,9.310122447623872
20,5.0,xiaokeche_zhixing.3,943.4382367097919,10988.905087380483,0.926568192057311,0.0,4.0,4.6221167809097095,0.0,2.440457153553143,201.3315023557383,mainlane01,mainlane01_4,4.0,10.903776408266275
21,5.0,xiaokeche_zhixing.4,934.78224928021,10997.66945305782,-2.8521370588103307,0.0,4.0,1.7699797220993787,0.0,1.7699797220993787,201.3442949470194,mainlane01,mainlane01_1,1.0,5.869979722099378
22,5.0,xiaoxinghuoche_zhixing.0,931.2007397872783,10998.820353011679,-1.7699797220993787,0.0,6.0,0.0,0.0,0.0,201.30838732050964,mainlane01,mainlane01_0,0.0,6.1
23,6.0,dakeche_zhixing.0,927.789780559169,10980.441254731028,0.0,0.0,11.0,4.848467666795477,0.0,1.1695641908096146,202.4843540967107,mainlane01,mainlane01_1,1.0,24.45315177014563
24,6.0,xiaokeche_zhixing.0,927.9307150037828,10970.904344162705,5.0730787422042365,0.0,4.0,9.921546408999713,0.0,2.2693134228466088,202.28714696199094,mainlane01,mainlane01_2,2.0,33.30363638219424
25,6.0,xiaokeche_zhixing.1,936.1271968001364,10990.806506467905,-6.078295241086746,0.0,4.0,3.8432511679129675,0.0,1.64577987822704,201.32001591504024,mainlane01,mainlane01_2,2.0,11.779624164151027
26,6.0,xiaokeche_zhixing.2,938.2256848390493,10986.053242963902,2.303019051300362,0.0,4.0,6.14627021921333,0.0,2.450721630360931,202.28597907767434,mainlane01,mainlane01_3,3.0,15.456392666837202
27,6.0,xiaokeche_zhixing.3,940.8635988956516,10982.623869585841,0.650355952698737,0.0,4.0,6.796626171912067,0.0,2.174509391002357,202.57384419177353,mainlane01,mainlane01_4,4.0,17.70040258017834
28,6.0,xiaokeche_zhixing.4,934.78224928021,10997.66945305782,-6.796626171912067,0.0,4.0,0.0,0.0,-1.7699797220993787,201.3442949470194,mainlane01,mainlane01_1,1.0,5.869979722099378
29,6.0,xiaokeche_zhixing.5,942.4118131299082,10996.602190224621,0.0,0.0,4.0,0.0,0.0,0.0,201.29589680860306,mainlane01,mainlane01_3,3.0,4.1
